Code,Alpha,Name,Address,City,State,Zip,Gross Area,Assignable
0002.00,2,Art Building &amp; Art Museum,1031 N Olive Rd,TUCSON,AZ,85719,"71,382.00","49,950.00"
0002.01,2A,Art Building Addition,1031 N Olive Rd,TUCSON,AZ,85719,"21,924.00","15,460.00"
0003.00,3,Drama,1025 N Olive Rd,TUCSON,AZ,85719,"29,081.00","13,991.00"
0003.01,3A,Drama Addition,1025 N Olive Rd,TUCSON,AZ,85719,"61,116.00","39,328.00"
0004.00,4,Fred Fox School of Music,1017 N Olive Rd,TUCSON,AZ,85719,"59,611.00","33,107.00"
0004.01,4A,Fred Fox School of Music Addition,1017 N Olive Rd,TUCSON,AZ,85719,"53,236.00","32,627.00"
0005.00,5,Coconino Residence Hall,1003 N Olive Rd,TUCSON,AZ,85719,"29,568.00","19,821.00"
0006.00,6,Slonaker House,1027 E 2 St,TUCSON,AZ,85719,"10,821.00","6,913.00"
0007.00,7,Manzanita Residence Hall,1010 N Park Ave,TUCSON,AZ,85719,"44,046.00","26,716.00"
0007.01,7A,Mohave Residence Hall,1000 N Park Ave,TUCSON,AZ,85719,"42,043.00","24,791.00"
0008.00,8,Gila Residence Hall,1009 E James E. Rogers Way,TUCSON,AZ,85719,"39,421.00","24,874.00"
0009.00,9,Maricopa Residence Hall,1031 E James E. Rogers Way,TUCSON,AZ,85719,"33,410.00","22,430.00"
0010.00,10,Yuma Residence Hall,1107 E James E. Rogers Way,TUCSON,AZ,85719,"40,195.00","25,685.00"
0011.00,11,John W. Harshbarger Building,1133 E James E. Rogers Way,TUCSON,AZ,85719,"74,211.00","54,409.00"
0012.00,12,Mines And Metallurgy,1235 E James E. Rogers Way,TUCSON,AZ,85719,"39,495.00","27,419.00"
0014.00,14,Transitional Office Building,1731 E 2 St,TUCSON,AZ,85719,"10,561.00","6,851.00"
0017.00,17,Student Union Memorial Center,1303 E University Blvd,TUCSON,AZ,85719,"245,035.00","161,703.00"
0019.00,19,Student Union Memorial Center - Bookstore,1209 E University Blvd,TUCSON,AZ,85719,"153,004.00","106,856.00"
0020.00,20,Engineering,1127 E James E. Rogers Way,TUCSON,AZ,85719,"65,064.00","43,460.00"
0021.00,21,Old Main,1200 E University Blvd,TUCSON,AZ,85719,"55,827.24","15,804.00"
0023.00,23,Cesar E. Chavez Building,1110 E James E. Rogers Way,TUCSON,AZ,85719,"59,932.00","33,669.00"
0024.00,24,Center For English As A Second Language,1100 E James E. Rogers Way,TUCSON,AZ,85719,"19,547.00","13,490.00"
0025.00,25,Communication,1103 E University Blvd,TUCSON,AZ,85719,"26,629.00","15,953.00"
0026.00,26,Arizona State Museum North,1013 E University Blvd,TUCSON,AZ,85719,"122,191.00","84,703.00"
0027.00,27,Social Sciences,1145 E South Campus Dr,TUCSON,AZ,85719,"80,346.00","46,624.00"
